IssueKey,Summary,IssueType,Status
TSC-1790,[이슈] admgr start post 실행 중 취소(ctrl+c) 시 Agent 프로세스 다운,버그,열림
TSC-1783,[이슈] ACO Post 메모리 누수 의심 (251211),버그,열림
TSC-1767,[개발요청] AFOM 계정 분리 기능 및 메뉴 비활성화 기능 추가,버그,다시 열림
TSC-1762,[이슈] extract 초기복제 옵션으로 기동 시 scn 순서가 잘못되어 추출됨,버그,Acknowledge
TSC-1757,[이슈] AFO | syslog 상에 arkmon 프로세스 중단 로그가 지속적으로 발생,버그,진행 중
TSC-1751,[이슈] 데이터추출 없음,버그,진행 중
TSC-1749,[이슈] h_IGNORE_DUPLICATE_SCN 동작 오류 (251124),버그,열림
TSC-1738,[이슈] AFCM 대시보드 그래프 서버시간대비 2시간 이전 시점까지만 출력됨,버그,Confirmed
TSC-1736,[이슈] 업그레이드 후 추출모듈 성능 저하,버그,진행 중
TSC-1731,[개선] UPDATE 필터링 시 동일 컬럼 BEFORE·AFTER 동시 조건 처리 기능 개선,버그,열림
TSC-1730,[개발요청] 데이터 적용 시 후처리 기능 추가,버그,열림
TSC-1729,[개발요청] 데이터 적용 시 옵티마이저 힌트 추가 기능 추가,버그,열림
TSC-1728,[개발요청] 추출 및 적용 시 세션 옵션 적용 기능 추가,버그,열림
TSC-1723,[이슈] DDL 수행 시 세션변경 실패 후에도 DDL 수행,버그,진행 중
TSC-1713,[이슈] 테이블에 컬럼 추가 후 추출모듈 재기동(251110),버그,해결됨
TSC-1686,[이슈] Extract 모듈 History 정보 누락해서 읽고 추출하다가 core 발생,버그,열림
TSC-1662,[이슈] 추출 제외 설정한 테이블의 메타 정보 찾기에 실패한 경우 모듈 중지 (251105),버그,종료됨
TSC-1657,[이슈] DPI 데이터 처리 중 Extract 비정상 종료 (251031),버그,종료됨
TSC-1655,[이슈] Extract 모듈 데이터 추출 시 컬럼 개수 잘못 카운트됨,버그,열림
TSC-1651,[이슈] ADJUST_COLLISION 처리 시 명시적 컬럼 매핑 값을 반영하지 않음 (251028),버그,Confirmed
TSC-1644,[이슈] NOSUP 테이블 Update 발생 시 추출 모듈 중단 (251023),버그,종료됨
TSC-1611,[이슈] Extract 모듈 archive log 찾지못할 시 core 파일 발생,버그,Acknowledge
TSC-1583,[이슈] 실시간 추출 중 NOSUP 테이블 delete 발생 시 NOT NULL TIMEZONE 컬럼 select 실패 (250919),버그,종료됨
